isbn,title,authors,publisher,publishedYear,genre,totalCopies,availableCopies,location,description
"978-6-47-466494-7","The Mystery of the Crown","George Brown","TechPress","2007","History",4,4,"Aisle 2, Shelf E","A fascinating exploration of history through the lens of the mystery of the crown."
"978-2-56-48186-7","Shadows over the Deep","Quinn Wilson","Macmillan","2002","Science Fiction",7,3,"Aisle 5, Shelf C","A fascinating exploration of science fiction through the lens of shadows over the deep."
"978-8-29-176697-2","Secrets of the Deep","Diana Robinson","Macmillan","1996","History",8,2,"Aisle 8, Shelf A","A fascinating exploration of history through the lens of secrets of the deep."
"978-3-2-6366-4","Visions of the Galaxy","Mike Harris","Penguin","1997","History",2,1,"Aisle 8, Shelf E","A fascinating exploration of history through the lens of visions of the galaxy."
"978-2-22-150719-8","Echoes from the City","Diana Anderson","Scribner","2008","Technology",8,7,"Aisle 3, Shelf E","A fascinating exploration of technology through the lens of echoes from the city."
"978-0-14-474669-3","The Fall of the City","Paula White","Scribner","1992","Fantasy",9,6,"Aisle 4, Shelf A","A fascinating exploration of fantasy through the lens of the fall of the city."
"978-6-50-359243-0","The Fall of the Deep","Hannah Davis","Scribner","1998","Science Fiction",8,6,"Aisle 10, Shelf B","A fascinating exploration of science fiction through the lens of the fall of the deep."
"978-2-31-203276-8","Echoes from the Crown","Julia Martinez","Penguin","1991","Fantasy",10,1,"Aisle 7, Shelf D","A fascinating exploration of fantasy through the lens of echoes from the crown."
"978-4-53-478613-4","Journey to the Horizon","Paula Martinez","Macmillan","1999","Technology",7,6,"Aisle 1, Shelf B","A fascinating exploration of technology through the lens of journey to the horizon."
"978-8-18-703979-0","Visions of the Galaxy","Tina Robinson","Penguin","2009","Mystery",9,5,"Aisle 4, Shelf A","A fascinating exploration of mystery through the lens of visions of the galaxy."
"978-3-68-857503-6","Echoes from the Deep","Zara Davis","Macmillan","2008","Science Fiction",5,2,"Aisle 3, Shelf C","A fascinating exploration of science fiction through the lens of echoes from the deep."
"978-8-10-272847-6","Echoes from Tomorrow","Kevin Martinez","TechPress","1994","Mystery",1,1,"Aisle 2, Shelf E","A fascinating exploration of mystery through the lens of echoes from tomorrow."
"978-4-57-778388-5","Visions of the Deep","Tina Johnson","Scribner","2006","Technology",4,0,"Aisle 9, Shelf C","A fascinating exploration of technology through the lens of visions of the deep."
"978-5-4-801277-5","The Mystery of the Horizon","Xena Martinez","TechPress","2018","History",10,9,"Aisle 3, Shelf D","A fascinating exploration of history through the lens of the mystery of the horizon."
"978-7-39-546950-7","Rise of Winter","Victoria Harris","Harper","2006","Science Fiction",9,2,"Aisle 9, Shelf B","A fascinating exploration of science fiction through the lens of rise of winter."
"978-1-57-520487-4","Journey to the Ancients","Yusuf Anderson","TechPress","2006","Fantasy",9,5,"Aisle 8, Shelf C","A fascinating exploration of fantasy through the lens of journey to the ancients."
"978-2-41-697221-5","Echoes from Tomorrow","Xena Miller","Harper","1998","Technology",1,1,"Aisle 2, Shelf B","A fascinating exploration of technology through the lens of echoes from tomorrow."
"978-8-34-48295-1","Echoes from the Ancients","Hannah Thompson","Macmillan","1992","Science Fiction",10,7,"Aisle 4, Shelf D","A fascinating exploration of science fiction through the lens of echoes from the ancients."
"978-3-29-854146-5","Secrets of the Galaxy","Will Anderson","Macmillan","1995","History",1,1,"Aisle 1, Shelf E","A fascinating exploration of history through the lens of secrets of the galaxy."
